latitude,longitude,landslide_trigger,landslide_setting,landslide_category
47.538,-122.273,rain,,complex
9.2038,123.596,downpour,,landslide
10.3228,76.4319,downpour,,mudslide
33.899,-117.764,rain,,lahar
35.5001,-83.9442,downpour,above_road,landslide
43.6164,-122.1355,,above_road,landslide
44.4132,-123.9032,,above_road,landslide
48.1393,-122.6011,rain,bluff,landslide
38.5051,-81.4752,,above_road,landslide
38.1923,15.5555,downpour,,mudslide
-3.1946,-52.2093,rain,,mudslide
3.1497,101.7036,downpour,natural_slope,landslide
38.59064577,-122.95834872,downpour,above_road,mudslide
39.34438459,-122.66547218,rain,above_road,rock_fall
38.00797062,-122.61717407,rain,above_road,mudslide
37.88206112,-122.545533,downpour,above_road,mudslide
39.20099639,-120.80953847,rain,below_road,earth_flow
37.84242895,-122.47805428,continuous_rain,above_road,mudslide
46.545921,-116.247693,rain,above_road,landslide
38.51175925,-122.10446578,rain,above_road,mudslide
37.61662149,-122.48520774,rain,above_road,landslide
40.727305,-122.077642,rain,above_road,landslide
40.41337991,-79.9238858,rain,above_road,landslide
8.36157628,124.41530906,downpour,natural_slope,landslide
39.35900577,-123.50955946,rain,above_road,mudslide
38.5037,-122.9955,downpour,,landslide
37.14797807,-122.08769581,rain,above_road,landslide
40.43687977,-79.78054802,no_apparent_trigger,above_road,landslide
41.58901199,-93.61704562,dam_embankment_collapse,urban,landslide
40.684606,-78.808062,rain,above_road,rock_fall
38.18548947,-81.32476841,rain,above_road,landslide
40.78083525,-123.31233055,,,rock_fall
-41.849833,173.725986,other,above_road,landslide
47.297782,-115.173202,,above_road,rock_fall
35.72120055,74.81907701,downpour,above_road,landslide
45.59489027,-122.87182055,rain,above_road,landslide
35.26818518,-85.12267855,continuous_rain,above_road,landslide
31.10312666,77.20355516,rain,above_road,landslide
13.28549037,123.72978739,continuous_rain,natural_slope,landslide
47.47729387,-122.18564763,rain,above_road,landslide
48.56465589,-119.722696,rain,above_road,debris_flow
37.97107992,-120.39514292,rain,above_road,rock_fall
48.656783,-116.340039,rain,above_road,mudslide
